,J,Params
56,1.1495606290995437,"[0.013558129350122898, 22.975841267790354]"
57,1.1621723304336193,"[0.015569141353862437, 19.57023721362962]"
58,1.159456546678108,"[0.01629279965890942, 26.66109662521766]"
59,0.9568224983430264,"[0.00632171081898791, 33.59693489284617]"
60,0.9056917666642453,"[0.0054379915979258335, 32.29022901018668]"
61,1.1393811747564,"[0.013354143048041545, 30.32310863149052]"
62,1.0071302184044837,"[0.004, 7.274787778468886]"
63,0.8853108846377957,"[0.0054379915979258335, 33.62684873246796]"
64,1.1662749848984875,"[0.01685488545454598, 20.846683083657773]"
65,1.0122912524886691,"[0.004, 6.126562333143813]"
66,1.0560728550580194,"[0.0054379915979258335, 8.841263209581602]"
67,0.8740701540984698,"[0.0054379915979258335, 34.42133787113991]"
68,0.8547027913460337,"[0.004, 25.30376628421884]"
69,1.0281267586173135,"[0.006892467410186103, 29.2180470639883]"
70,0.9446127288742432,"[0.00632171081898791, 34.802502782104625]"
71,1.142171138096606,"[0.011278912538179673, 13.512398295227609]"
72,1.0187956192010392,"[0.0054379915979258335, 20.357607465010993]"
73,1.164712435690117,"[0.01574340459998444, 17.115204366518036]"
74,1.1711937005837731,"[0.01761499397555051, 17.823795027174764]"
75,1.1724319429888714,"[0.018975240785608076, 20.304834983451507]"
76,1.0745743348528503,"[0.007631726523687533, 24.10352213824022]"
77,0.8433503270577047,"[0.004, 25.98384537514914]"
78,0.9352691869781274,"[0.0054379915979258335, 30.34787470304481]"
79,0.8600060802510078,"[0.0054379915979258335, 35.23967712367049]"
80,1.036560671245636,"[0.0068079006537909315, 26.85173597769127]"
81,1.1534065728474736,"[0.013082253638408562, 14.530798770609662]"
82,1.176141597790373,"[0.018556378696828312, 15.48362423973384]"
83,1.1816378308073388,"[0.020486218806009034, 15.540915000218938]"
84,1.1129306944211135,"[0.008571532082976407, 9.949632275519246]"
85,1.0564493544959608,"[0.0054379915979258335, 5.583972495873446]"
