,J,Params
56,1.0321256503081477,"[0.0045323541366494285, 6.781770714871959]"
57,1.0478588086882732,"[0.004991553663769069, 6.892477687103125]"
58,1.0519851362496055,"[0.005149933323273648, 6.703996580888998]"
59,1.0613327521690417,"[0.005557156684210645, 6.617884690176935]"
60,1.0111158887755431,"[0.004, 6.548889429926219]"
61,1.0562850050531711,"[0.005403587535883251, 8.333006967947048]"
62,1.0171399047173078,"[0.0041178346150497255, 6.387533095889112]"
63,1.0260722764694545,"[0.004313688317354543, 6.216524445012367]"
64,1.0121856629522203,"[0.004, 6.196281389853861]"
65,1.0121040408190158,"[0.004, 5.983767724065229]"
66,1.0008442383537943,"[0.004156072459006852, 11.847419436356045]"
67,1.0157887467036988,"[0.004068345566214637, 5.804040952608398]"
68,1.07354238322021,"[0.006053793974211097, 10.229199095985887]"
69,0.9861398494955668,"[0.003706366542596401, 8.267579605610347]"
70,1.013000174753867,"[0.004, 5.6512560766723965]"
71,1.018407435854671,"[0.004096347062266643, 5.4643886744352965]"
72,0.9832277163787517,"[0.0035032058716878804, 6.416830380782871]"
73,0.9695123917478267,"[0.003389640219293827, 7.635411855054508]"
74,0.9726922021855912,"[0.0035032058716878804, 8.570939798022874]"
75,0.9848990984556851,"[0.0035032058716878804, 6.075793658756777]"
76,0.9858286952222379,"[0.0035032058716878804, 5.783722289016184]"
77,1.0188529528998729,"[0.004096347062266643, 5.307440579853391]"
78,1.0155076017608702,"[0.004, 5.159007345182289]"
79,1.0160814071307638,"[0.004, 4.985094779865638]"
80,1.0182063890160915,"[0.004096347062266643, 4.800360337559278]"
81,1.0145370299141225,"[0.004, 4.663837229526984]"
82,1.0092996877616445,"[0.003845728037937658, 4.4776004900708815]"
83,1.050001937092548,"[0.005069708889930691, 6.297566922871896]"
84,0.9340232463226937,"[0.0030434614835689374, 9.179324575752037]"
85,1.038465529729703,"[0.0046557359766755645, 5.758046616038963]"
86,0.9342384818110258,"[0.0030434614835689374, 9.01045350702178]"
87,0.9348055663908251,"[0.0030434614835689374, 8.842854258748485]"
88,0.9362991533294577,"[0.0030434614835689374, 8.563194782796039]"
89,0.9377703021576064,"[0.0030434614835689374, 8.346668850784216]"
90,0.9452998217405909,"[0.0030434614835689374, 7.6304273651690915]"
91,0.9327658524584878,"[0.0030434614835689374, 9.473488564090745]"
92,0.9412661870092803,"[0.0030434614835689374, 8.038652016941061]"
93,0.9476530850919138,"[0.0030434614835689374, 7.435882633832365]"
94,0.9315678982246444,"[0.0030434614835689374, 9.648198655581137]"
95,0.9301993814266029,"[0.0030434614835689374, 9.825866476734486]"
96,1.0241820107566812,"[0.004271890739025059, 4.739843181336544]"
97,0.9496783435647244,"[0.0030434614835689374, 7.254483423124906]"
98,0.9508919044665423,"[0.0030434614835689374, 7.041175623883942]"
99,1.0142727875769217,"[0.004, 4.316502422290366]"
100,1.007037746743773,"[0.003845728037937658, 5.333052887178216]"
101,1.0086211901793287,"[0.003845728037937658, 4.175316349231561]"
102,1.0137240250004438,"[0.004, 4.045625197808521]"
103,1.0343193242159667,"[0.004568039926383952, 4.379082485748381]"
104,1.0324597808937213,"[0.004587693687189741, 4.0127315059385325]"
105,1.036032063820774,"[0.00463731878760676, 5.019088571703937]"
106,1.0119254485901452,"[0.004, 3.8555708234944186]"
107,1.0110214034132525,"[0.004, 3.7008996331298714]"
108,1.044746335802781,"[0.004995871730860175, 7.613860774922667]"
109,1.0676260038924814,"[0.005812435449307494, 8.266805269266028]"
110,1.0456885792046768,"[0.004995871730860175, 5.340197591668436]"
111,1.0565441247546545,"[0.005391161028805666, 8.01721621047437]"
112,0.9519454094177325,"[0.0030434614835689374, 6.678666897656434]"
113,0.9529649636545543,"[0.0030434614835689374, 6.287708818512472]"
114,0.929399864006652,"[0.0030434614835689374, 9.979347485104833]"
115,0.9282349918192947,"[0.0030434614835689374, 10.123653630811958]"
116,0.9538316730617984,"[0.0030434614835689374, 6.092347195432127]"
117,0.9559628644214527,"[0.0030434614835689374, 5.840267364933267]"
118,0.9574613595757514,"[0.0030434614835689374, 5.586208712021535]"
119,0.9597327496297398,"[0.0030434614835689374, 5.371331608167219]"
120,1.0046900836029016,"[0.003845728037937658, 3.5353639563601544]"
121,0.9616743807093721,"[0.0030434614835689374, 5.253612578569433]"
122,0.9618666011876992,"[0.0030434614835689374, 5.06564949742171]"
123,0.9626801435064829,"[0.0030434614835689374, 4.920564143043497]"
124,0.9633901474568222,"[0.0030434614835689374, 4.794778900855581]"
125,0.9653716506760726,"[0.0030434614835689374, 4.548725882103183]"
126,0.9672746409150458,"[0.0030434614835689374, 4.389419755849303]"
127,0.9691885545533634,"[0.0030434614835689374, 4.2365371197633594]"
128,0.9709313274630565,"[0.0030434614835689374, 3.9934622446700825]"
129,0.9700540688089246,"[0.0030434614835689374, 3.7551073228313854]"
130,0.96978764286137,"[0.0030434614835689374, 3.552296750112]"
131,1.0100157036736281,"[0.004, 3.3789887856650163]"
132,0.9942834274113412,"[0.0040712363604282955, 11.97791344650816]"
133,0.994253307103536,"[0.004086819572061439, 12.14758960327637]"
134,0.9696841497541935,"[0.0030434614835689374, 3.3594192149063966]"
135,0.9682628948025479,"[0.0030434614835689374, 3.1785611189496032]"
136,1.00451872047539,"[0.003845728037937658, 3.223955897007108]"
137,1.0781424788244685,"[0.006229953319492366, 10.014945781305144]"
